non_sponsored_text,original_sponsored_text,modified_sponsored_text
This is an organic influencer post 1.,This is the original sponsored post 1.,This is the AI generated sponsored post 1.
This is an organic influencer post 2.,This is the original sponsored post 2.,This is the AI generated sponsored post 2.
This is an organic influencer post 3.,This is the original sponsored post 3.,This is the AI generated sponsored post 3.
This is an organic influencer post 4.,This is the original sponsored post 4.,This is the AI generated sponsored post 4.
This is an organic influencer post 5.,This is the original sponsored post 5.,This is the AI generated sponsored post 5.
This is an organic influencer post 6.,This is the original sponsored post 6.,This is the AI generated sponsored post 6.
This is an organic influencer post 7.,This is the original sponsored post 7.,This is the AI generated sponsored post 7.
This is an organic influencer post 8.,This is the original sponsored post 8.,This is the AI generated sponsored post 8.
This is an organic influencer post 9.,This is the original sponsored post 9.,This is the AI generated sponsored post 9.
This is an organic influencer post 10.,This is the original sponsored post 10.,This is the AI generated sponsored post 10.
